dbn,lat,long,2007type,2007enrollment,2007pi,2007overall,2007progress,2007performance,2007environment,2008type,2008enrollment,2008pi,2008overall,2008progress,2008performance,2008environment,2009type,2009enrollment,2009pi,2009overall,2009progress,2009performance,2009environment,2010type,2010enrollment,2010pi,2010overall,2010progress,2010performance,2010environment,2011type,2011enrollment,2011pi,2011overall,2011progress,2011performance,2011environment
08X036,40.82948,-73.849791,Elementary,626,50.34364261,83.27586207,56.52920962,93.47079038,86.76975945,Elementary,651,44.65195246,91.28205128,81.02564103,89.74358974,91.28205128,Elementary,631,44.81605351,96.79054054,80.40540541,96.4527027,78.20945946,Elementary,685,49.91624791,54.95798319,43.69747899,75.6302521,81.00840336,Elementary,684,51.57545605,41.77852349,33.05369128,65.26845638,64.26174497
07X321,40.816962,-73.912014,,,,,,,,HST,154,27.27272727,59.25925926,48.14814815,70.37037037,88.88888889,HST,146,32.5,28.125,46.875,15.625,56.25,HST,137,34.09090909,10.25641026,15.38461538,12.82051282,20.51282051,HST,132,51.06382979,26.31578947,34.21052632,7.894736842,97.36842105
07X500,40.818118,-73.928042,Middle,534,68.12885336,28.28353176,37.64230048,36.30374952,26.68489767,High School Combination,823,70.26793899,58.43409514,72.03693861,43.50695367,43.27774825,High School Combination,517,70.75533221,55.6863418,55.97166389,35.71918816,43.01990391,High School Combination,560,61.55537785,67.57908828,54.22479391,83.18361164,55.91048404,High School Combination,600,69.62594268,31.40542672,20.75460617,63.643152,38.43591637
20K048,40.621481,-73.987165,Elementary,618,77.31958763,47.75862069,21.64948454,89.34707904,82.13058419,Elementary,607,78.43803056,61.02564103,61.1965812,87.69230769,36.92307692,Elementary,583,78.76254181,60.81081081,65.54054054,75.84459459,29.39189189,Elementary,619,76.54941374,62.5210084,48.90756303,75.29411765,45.54621849,Elementary,613,77.28026534,83.22147651,85.73825503,62.24832215,25.16778523
22K203,40.622108,-73.925732,Elementary,942,46.56357388,89.65517241,80.06872852,76.80412371,75.08591065,Elementary,935,43.46349745,78.11965812,63.76068376,77.26495727,63.07692308,Elementary,877,43.64548495,60.81081081,43.58108108,68.07432432,55.57432432,Elementary,865,44.89112228,27.05882353,26.72268908,34.62184874,40.50420168,Elementary,887,48.25870647,55.87248322,65.60402685,42.11409396,30.36912752
16K385,40.691467,-73.932254,Middle,281,23.79421222,80.96885813,91.93548387,40.51446945,18.91025641,Middle,310,11.24260355,35.5345912,49.05660377,47.79874214,34.27672956,Middle,279,11.66180758,81.76291793,79.93920973,100,34.65045593,Middle,253,4.098360656,85.96491228,95.32163743,77.77777778,24.26900585,Middle,225,2.820512821,74.65181059,71.86629526,84.67966574,18.94150418
22K207,40.613981,-73.930485,K-8,851,89.91596639,44.06779661,13.44537815,85.71428571,90.75630252,K-8,985,89.20863309,52.51798561,30.21582734,78.41726619,89.92805755,K-8,1059,89.05109489,35.03649635,21.89781022,63.50364964,83.94160584,K-8,1143,89.86486486,38.51351351,22.97297297,65.54054054,62.16216216,K-8,1174,88.38709677,52.94117647,42.48366013,73.85620915,49.67320261
22K206,40.596876,-73.948453,K-8,1236,89.07563025,48.30508475,15.96638655,88.23529412,78.1512605,K-8,1255,87.76978417,79.13669065,69.78417266,87.05035971,76.25899281,K-8,1272,87.59124088,29.19708029,18.97810219,72.99270073,49.6350365,K-8,1292,91.21621622,87.16216216,87.83783784,90.54054054,26.35135135,K-8,1325,90.32258065,39.86928105,29.41176471,75.81699346,36.60130719
10X434,40.859466,-73.888625,HS,409,5.504587156,34.74576271,43.42507645,34.74576271,25.0764526,HS,385,7.887323944,74.64788732,83.45070423,64.78873239,45.42253521,HS,398,8.157894737,97.74193548,99.03225806,52.58064516,57.09677419,HS,413,14.63414634,73.79518072,91.86746988,57.8313253,33.73493976,HS,389,23.05882353,69.27710843,73.79518072,70.48192771,34.63855422
22K198,40.637601,-73.937083,Elementary,704,54.29553265,73.96551724,76.80412371,45.01718213,66.66666667,Elementary,684,53.65025467,18.11965812,13.5042735,42.73504274,67.69230769,Elementary,658,53.84615385,13.17567568,18.41216216,27.53378378,18.24324324,Elementary,617,54.27135678,15.12605042,24.20168067,11.76470588,20.16806723,Elementary,550,56.21890547,74.83221477,84.39597315,36.0738255,43.45637584
